title,artist,filename
Last Nite,The Strokes,The Strokes - Last Nite.mp3
Seven Nation Army,The White Stripes,The White Stripes - Seven Nation Army.mp3
American Idiot,Green Day,Green Day - American Idiot.mp3
Learn to Fly,Foo Fighters,Foo Fighters - Learn to Fly.mp3
Mr. Brightside,The Killers,The Killers - Mr. Brightside.mp3
Boulevard of Broken Dreams,Green Day,Green Day - Boulevard of Broken Dreams.mp3
Under the Bridge,Red Hot Chili Peppers,Red Hot Chili Peppers - Under the Bridge.mp3
Californication,Red Hot Chili Peppers,Red Hot Chili Peppers - Californication.mp3
Livin' On A Prayer,Bon Jovi,Bon Jovi - Livin' On A Prayer.mp3
You Shook Me All Night Long,AC/DC,AC_DC - You Shook Me All Night Long.mp3
Jungleland,Bruce Springsteen,Bruce Springsteen - Jungleland.mp3
Don't Stop Believin' (2024 Remaster),Journey,Journey - Don't Stop Believin' (2024 Remaster).mp3
Eye of the Tiger,Survivor,Survivor - Eye of the Tiger.mp3
Cat People (Putting Out Fire),David Bowie,David Bowie - Cat People (Putting Out Fire).mp3
Run to the Hills (1998 Remaster),Iron Maiden,Iron Maiden - Run to the Hills (1998 Remaster).mp3
Breaking the Law,Judas Priest,Judas Priest - Breaking the Law.mp3
Hysteria,Muse,Muse - Hysteria.mp3
Heaven's On Fire,Kiss,Kiss - Heaven's On Fire.mp3
Thunderstruck,AC/DC,AC_DC - Thunderstruck.mp3
Are You Gonna Go My Way,Lenny Kravitz,Lenny Kravitz - Are You Gonna Go My Way.mp3
Song 2,Blur,Blur - Song 2.mp3
Black Hole Sun,Soundgarden,Soundgarden - Black Hole Sun.mp3
Cherub Rock (2011 Remaster),The Smashing Pumpkins,The Smashing Pumpkins - Cherub Rock (2011 Remaster).mp3
This Is The Life,Amy Macdonald,Amy Macdonald - This Is The Life.mp3
Hybrid Moments,Misfits,Misfits - Hybrid Moments.mp3
When You Were Young,The Killers,The Killers - When You Were Young.mp3
Best of You,Foo Fighters,Foo Fighters - Best of You.mp3
The Pretender,Foo Fighters,Foo Fighters - The Pretender.mp3
Weight of Love,The Black Keys,The Black Keys - Weight of Love.mp3
Radioactive,Imagine Dragons,Imagine Dragons - Radioactive.mp3
Toxicity,System of A Down,System of A Down - Toxicity.mp3
Bulls On Parade,Rage Against the Machine,Rage Against the Machine - Bulls On Parade.mp3
Know Your Enemy,Rage Against the Machine,Rage Against the Machine - Know Your Enemy.mp3
Poker Face,Lady Gaga,Lady Gaga - Poker Face.mp3
Rolling in the Deep,Adele,Adele - Rolling in the Deep.mp3
Someone Like You,Adele,Adele - Someone Like You.mp3
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's _TROLLS_).mp3
Back To Black,Amy Winehouse,Amy Winehouse - Back To Black.mp3
...Baby One More Time,Britney Spears,Britney Spears - ...Baby One More Time.mp3
All About That Bass,Meghan Trainor,Meghan Trainor - All About That Bass.mp3
Starboy,The Weeknd,The Weeknd - Starboy.mp3
...Baby One More Time,Britney Spears,Britney Spears - ...Baby One More Time.mp3
Where Are Ü Now (with Justin Bieber),Jack Ü,Jack Ü - Where Are Ü Now (with Justin Bieber).mp3
Dance Monkey,Tones And I,Tones And I - Dance Monkey.mp3
Don't Start Now,Dua Lipa,Dua Lipa - Don't Start Now.mp3
Levitating,Dua Lipa,Dua Lipa - Levitating.mp3
Shallow,Lady Gaga,Lady Gaga - Shallow.mp3
Señorita,Shawn Mendes,Shawn Mendes - Señorita.mp3
Uptown Funk (feat. Bruno Mars),Mark Ronson,Mark Ronson - Uptown Funk (feat. Bruno Mars).mp3
Rolling in the Deep,Adele,Adele - Rolling in the Deep.mp3
Can't Feel My Face,The Weeknd,The Weeknd - Can't Feel My Face.mp3
Girls Like You (Cardi B Version),Maroon 5,Maroon 5 - Girls Like You (Cardi B Version).mp3
Shape of You,Ed Sheeran,Ed Sheeran - Shape of You.mp3
Closer,The Chainsmokers,The Chainsmokers - Closer.mp3
See You Again (feat. Kali Uchis),"Tyler, The Creator","Tyler, The Creator - See You Again (feat. Kali Uchis).mp3"
Love Yourself,Justin Bieber,Justin Bieber - Love Yourself.mp3
Señorita,Shawn Mendes,Shawn Mendes - Señorita.mp3
Watermelon Sugar,Harry Styles,Harry Styles - Watermelon Sugar.mp3
Peaches,The Stranglers,The Stranglers - Peaches.mp3
stay,Aden Lou,Aden Lou - stay.mp3
drivers license,Olivia Rodrigo,Olivia Rodrigo - drivers license.mp3
good 4 u,Olivia Rodrigo,Olivia Rodrigo - good 4 u.mp3
As It Was,Harry Styles,Harry Styles - As It Was.mp3
Easy On Me,Adele,Adele - Easy On Me.mp3
Anti-Hero,Taylor Swift,Taylor Swift - Anti-Hero.mp3
Kill Bill,SZA,SZA - Kill Bill.mp3
Flowers,Miley Cyrus,Miley Cyrus - Flowers.mp3
"Moves Like Jagger (Studio Recording From ""The Voice"" Performance)",Maroon 5,Maroon 5 - Moves Like Jagger (Studio Recording From _The Voice_ Performance).mp3
Somebody That I Used To Know,Gotye,Gotye - Somebody That I Used To Know.mp3
Skinny Love,Birdy,Birdy - Skinny Love.mp3
Paradise,Sade,Sade - Paradise.mp3
Counting Stars,OneRepublic,OneRepublic - Counting Stars.mp3
Wake Me Up Before You Go-Go,Wham!,Wham! - Wake Me Up Before You Go-Go.mp3
Someone You Loved,Lewis Capaldi,Lewis Capaldi - Someone You Loved.mp3
Hips Don't Lie (feat. Wyclef Jean),Shakira,Shakira - Hips Don't Lie (feat. Wyclef Jean).mp3
Wherever You Will Go,The Calling,The Calling - Wherever You Will Go.mp3
Complicated,Avril Lavigne,Avril Lavigne - Complicated.mp3
i'm yours,Isabel LaRosa,Isabel LaRosa - i'm yours.mp3
"Hey, Soul Sister",SKYE,"SKYE - Hey, Soul Sister.mp3"
Just Dance,Lady Gaga,Lady Gaga - Just Dance.mp3
Fireflies,Owl City,Owl City - Fireflies.mp3
TiK ToK,Ke$ha,Ke$ha - TiK ToK.mp3
Forget You (feat. BARBZ),Alok,Alok - Forget You (feat. BARBZ).mp3
Raise Your Glass,P!nk,P!nk - Raise Your Glass.mp3
We Found Love (Album Version),Rihanna,Rihanna - We Found Love (Album Version).mp3
Diamonds,Rihanna,Rihanna - Diamonds.mp3
Havana (feat. Young Thug),Camila Cabello,Camila Cabello - Havana (feat. Young Thug).mp3
bad guy,Billie Eilish,Billie Eilish - bad guy.mp3
Circles,Arley,Arley - Circles.mp3
Water Under the Bridge,Adele,Adele - Water Under the Bridge.mp3
Blank Space,Taylor Swift,Taylor Swift - Blank Space.mp3
Shake It Off,Taylor Swift,Taylor Swift - Shake It Off.mp3
Roar,Katy Perry,Katy Perry - Roar.mp3
Summertime Sadness,Lana Del Rey,Lana Del Rey - Summertime Sadness.mp3
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's _TROLLS_).mp3
Uptown Funk (feat. Bruno Mars),Mark Ronson,Mark Ronson - Uptown Funk (feat. Bruno Mars).mp3
Master Of Puppets,Metallica,Metallica - Master Of Puppets.mp3
Paranoid,Black Sabbath,Black Sabbath - Paranoid.mp3
Iron Man,Black Sabbath,Black Sabbath - Iron Man.mp3
Ace Of Spades,Motörhead,Motörhead - Ace Of Spades.mp3
Raining Blood,Slayer,Slayer - Raining Blood.mp3
Fear of the Dark (2015 Remaster),Iron Maiden,Iron Maiden - Fear of the Dark (2015 Remaster).mp3
Painkiller,Three Days Grace,Three Days Grace - Painkiller.mp3
Hallowed Be Thy Name (2015 Remaster),Iron Maiden,Iron Maiden - Hallowed Be Thy Name (2015 Remaster).mp3
Cowboys from Hell,Pantera,Pantera - Cowboys from Hell.mp3
The One,Limp Bizkit,Limp Bizkit - The One.mp3
Walk,Pantera,Pantera - Walk.mp3
Children of the Grave,Black Sabbath,Black Sabbath - Children of the Grave.mp3
The Number of the Beast (1998 Remaster),Iron Maiden,Iron Maiden - The Number of the Beast (1998 Remaster).mp3
Electric Eye,Judas Priest,Judas Priest - Electric Eye.mp3
Battery,Metallica,Metallica - Battery.mp3
South Of Heaven,Slayer,Slayer - South Of Heaven.mp3
Angel Of Death,Slayer,Slayer - Angel Of Death.mp3
War Pigs,Black Sabbath,Black Sabbath - War Pigs.mp3
Holy Wars...The Punishment Due,Megadeth,Megadeth - Holy Wars...The Punishment Due.mp3
The Trooper (2015 Remaster),Iron Maiden,Iron Maiden - The Trooper (2015 Remaster).mp3
Holy Diver,Dio,Dio - Holy Diver.mp3
Seek & Destroy (Remastered),Metallica,Metallica - Seek & Destroy (Remastered).mp3
Run to the Hills (1998 Remaster),Iron Maiden,Iron Maiden - Run to the Hills (1998 Remaster).mp3
Heaven and Hell (2009 Remaster),Black Sabbath,Black Sabbath - Heaven and Hell (2009 Remaster).mp3
Symphony Of Destruction (Remastered 2012),Megadeth,Megadeth - Symphony Of Destruction (Remastered 2012).mp3
Blackened,Metallica,Metallica - Blackened.mp3
Harvester of Sorrow,Metallica,Metallica - Harvester of Sorrow.mp3
Battery,Metallica,Metallica - Battery.mp3
Roots Bloody Roots,Sepultura,Sepultura - Roots Bloody Roots.mp3
Before I Forget,Slipknot,Slipknot - Before I Forget.mp3
Bleed (15th Anniversary Remastered 2023 Edition),Meshuggah,Meshuggah - Bleed (15th Anniversary Remastered 2023 Edition).mp3
The Bleeding,Five Finger Death Punch,Five Finger Death Punch - The Bleeding.mp3
Aerials,System of A Down,System of A Down - Aerials.mp3
Chop Suey!,System of A Down,System of A Down - Chop Suey!.mp3
Coconut,Harry Nilsson,Harry Nilsson - Coconut.mp3
Down with the Sickness,Disturbed,Disturbed - Down with the Sickness.mp3
Blinding Lights,The Weeknd,The Weeknd - Blinding Lights.mp3
Psychosocial,Slipknot,Slipknot - Psychosocial.mp3
Stigmata,grandson,grandson - Stigmata.mp3
South Of Heaven,Slayer,Slayer - South Of Heaven.mp3
Pull Me Under,Dream Theater,Dream Theater - Pull Me Under.mp3
Blood and Thunder,Mastodon,Mastodon - Blood and Thunder.mp3
Chapel Of Ghouls,Morbid Angel,Morbid Angel - Chapel Of Ghouls.mp3
I Am the Warlock (feat. Jack Black),Probot,Probot - I Am the Warlock (feat. Jack Black).mp3
Mirror Mirror,F.HERO,F.HERO - Mirror Mirror.mp3
VALHALLA,Maes,Maes - VALHALLA.mp3
Through The Fire And Flames,DragonForce,DragonForce - Through The Fire And Flames.mp3
The Bard's Song (In the Forest) (Live),Blind Guardian,Blind Guardian - The Bard's Song (In the Forest) (Live).mp3
Fear of the Dark (2015 Remaster),Iron Maiden,Iron Maiden - Fear of the Dark (2015 Remaster).mp3
Run to the Hills (1998 Remaster),Iron Maiden,Iron Maiden - Run to the Hills (1998 Remaster).mp3
The Wicker Man (2015 Remaster),Iron Maiden,Iron Maiden - The Wicker Man (2015 Remaster).mp3
Fear of the Dark (2015 Remaster),Iron Maiden,Iron Maiden - Fear of the Dark (2015 Remaster).mp3
The Number of the Beast (1998 Remaster),Iron Maiden,Iron Maiden - The Number of the Beast (1998 Remaster).mp3
Children of the Damned (2015 Remaster),Iron Maiden,Iron Maiden - Children of the Damned (2015 Remaster).mp3
Welcome To The Jungle,Guns N' Roses,Guns N' Roses - Welcome To The Jungle.mp3
Stone Cold Crazy (Remastered 2011),Queen,Queen - Stone Cold Crazy (Remastered 2011).mp3
Painkiller,Three Days Grace,Three Days Grace - Painkiller.mp3
Hallowed Be Thy Name (2015 Remaster),Iron Maiden,Iron Maiden - Hallowed Be Thy Name (2015 Remaster).mp3
Heaven's On Fire,Kiss,Kiss - Heaven's On Fire.mp3
Caught Somewhere in Time (2015 Remaster),Iron Maiden,Iron Maiden - Caught Somewhere in Time (2015 Remaster).mp3
Electric Eye,Judas Priest,Judas Priest - Electric Eye.mp3
Breaking the Law,Judas Priest,Judas Priest - Breaking the Law.mp3
