min_cluster_size,min_samples,cluster_selection_method,cluster_count,clustered_fraction,noise_fraction,silhouette_score
20,3,eom,63,0.4652248709756697,0.5347751290243303,0.2674194276332855
10,3,eom,152,0.4675595969525682,0.5324404030474318,0.2617796063423157
15,3,eom,83,0.4741951339395429,0.5258048660604571,0.23768429458141327
15,7,eom,2,0.9284836569181617,0.0715163430818383,-0.13955478370189667
20,7,eom,2,0.9284836569181617,0.0715163430818383,-0.13955478370189667
25,7,eom,2,0.9284836569181617,0.0715163430818383,-0.13955478370189667
25,8,eom,2,0.9510936347997051,0.0489063652002949,-0.14373745024204254
10,10,eom,2,0.967928237896289,0.03207176210371099,-0.1441042721271515
15,10,eom,2,0.967928237896289,0.03207176210371099,-0.1441042721271515
20,10,eom,2,0.967928237896289,0.03207176210371099,-0.1441042721271515
