filename,status,before_duration_s,after_duration_s,duration_change_s,before_lufs,after_lufs,lufs_change,before_peak_db,after_peak_db,peak_change_db,gain_applied_db,was_cropped,was_removed,error
Afrob - Gief Konjunkturpaket VI.mp3,processed,29.99,29.00,-0.99,-13.2,-15.8,-2.5,0.72,-1.57,-2.29,-2.5,yes,no,
Agency 1.9.9.4 - Dayz Of Our Livez.mp3,processed,29.99,29.00,-0.99,-12.2,-15.8,-3.6,1.12,-1.74,-2.86,-3.6,yes,no,
Agency 1.9.9.4 - Everyday Struggle (Bonus).mp3,processed,29.99,29.00,-0.99,-13.2,-15.8,-2.6,0.27,-1.99,-2.26,-2.6,yes,no,
Agnes - I Need You Now (Extended).mp3,processed,29.99,29.00,-0.99,-12.2,-15.8,-3.6,0.41,-2.60,-3.01,-3.6,yes,no,
Agnes - Non Conformist Acclaimed (Original Mix).mp3,processed,29.99,29.00,-0.99,-13.1,-15.8,-2.7,1.25,-1.17,-2.42,-2.7,yes,no,
Agnostic Front - Rock Star.mp3,processed,29.99,29.00,-0.99,-9.3,-15.8,-6.5,0.76,-5.30,-6.06,-6.5,yes,no,
Agnostic Front - Separate Ways.mp3,processed,29.99,29.00,-0.99,-10.7,-15.8,-5.1,-0.49,-4.65,-4.17,-5.1,yes,no,
Agnostic Front - Sickness.mp3,processed,29.99,29.00,-0.99,-9.3,-15.8,-6.5,0.41,-5.47,-5.88,-6.5,yes,no,
Agnostic Front - Standing On My Own.mp3,processed,29.99,29.00,-0.99,-11.8,-15.8,-4.0,-0.32,-3.88,-3.57,-4.0,yes,no,
Agnostic Front - Undertow.mp3,processed,29.99,29.00,-0.99,-18.0,-18.1,-0.1,-0.81,-1.22,-0.42,-0.1,yes,no,
Agust D - skit.mp3,processed,29.99,29.00,-0.99,-22.8,-21.1,1.7,-2.73,-0.76,1.96,1.7,yes,no,
Ahmad Shamlu - Chon Abr Be Nowuz Rokhe Lâleh Beshost.mp3,processed,29.99,29.00,-0.99,-28.3,-17.6,10.7,-11.61,-0.94,10.67,10.7,yes,no,
Ai Ai Ai - Com Una Flama.mp3,processed,29.99,29.00,-0.99,-20.9,-17.9,3.0,-4.16,-1.28,2.89,3.0,yes,no,
Aiden - Black Market Hell (Hidden Track).mp3,processed,29.99,29.00,-0.99,-12.0,-15.8,-3.8,0.60,-2.61,-3.20,-3.8,yes,no,
"Aiden - Die Romantic (Live At The Bottom Lounge, Chicago, IL _ January 13, 2009).mp3",processed,29.99,29.00,-0.99,-14.3,-15.7,-1.5,-0.36,-1.47,-1.12,-1.5,yes,no,
Aiden - Killing Machine.mp3,processed,29.99,29.00,-0.99,-11.5,-15.8,-4.2,0.47,-3.41,-3.88,-4.2,yes,no,
"Aiden - We Sleep Forever (Live At The Bottom Lounge, Chicago, IL _ January 13, 2009).mp3",processed,29.99,29.00,-0.99,-14.3,-15.8,-1.4,0.37,-1.21,-1.57,-1.4,yes,no,
Airdraw - A Través del Tiempo Naranja.mp3,processed,29.99,29.00,-0.99,-12.6,-15.8,-3.2,-0.29,-3.50,-3.21,-3.2,yes,no,
"Airto Moreira - Hala, Tumba And Timbal.mp3",processed,29.99,29.00,-0.99,-18.4,-19.2,-0.8,-0.25,-1.31,-1.06,-0.8,yes,no,
Aisha Duo - Beneath an Evening Sky.mp3,processed,29.99,29.00,-0.99,-21.9,-16.0,5.9,-6.87,-0.97,5.91,5.9,yes,no,
"Aisha Duo - Sea, Subsurface.mp3",processed,29.99,29.00,-0.99,-18.7,-15.8,2.9,-5.15,-2.19,2.96,2.9,yes,no,
Aitch - SOS.mp3,processed,29.99,29.00,-0.99,-11.9,-15.8,-3.9,-0.05,-3.28,-3.23,-3.9,yes,no,
Ajay-Atul - Shah Ka Rutba.mp3,processed,29.99,29.00,-0.99,-14.5,-15.8,-1.3,-0.62,-1.84,-1.23,-1.3,yes,no,
Akon - Belly Dancer (Bananza) (Remix).mp3,processed,29.99,29.00,-0.99,-14.7,-15.8,-1.1,-0.26,-0.65,-0.39,-1.1,yes,no,
Akon - Don't Matter (Radio Edit).mp3,processed,29.99,29.00,-0.99,-14.4,-16.1,-1.7,0.64,-1.26,-1.89,-1.7,yes,no,
Akon - Gunshot (Fiesta Riddim) (Explicit).mp3,processed,29.99,29.00,-0.99,-14.5,-15.8,-1.4,-1.22,-2.55,-1.33,-1.4,yes,no,
Akon - Lonely.mp3,processed,29.99,29.00,-0.99,-14.8,-15.9,-1.1,0.09,-0.78,-0.87,-1.1,yes,no,
Akon - Over The Edge (Album Version).mp3,processed,29.99,29.00,-0.99,-12.7,-15.8,-3.1,0.40,-2.46,-2.86,-3.1,yes,no,
Al De Lory - Country Girl.mp3,processed,29.99,29.00,-0.99,-15.3,-15.8,-0.5,-1.04,-1.47,-0.43,-0.5,yes,no,
Al Denson - Love Is Taking Hold.mp3,processed,29.99,29.00,-0.99,-18.8,-16.1,2.7,-3.73,-0.75,2.99,2.7,yes,no,
Al Denson - Rain Love.mp3,processed,29.99,29.00,-0.99,-15.2,-16.4,-1.1,0.14,-1.19,-1.32,-1.1,yes,no,
Al Denson - The Arms That Won't Let Go (The Pillow Song)_Great Is Thy Faithfulness.mp3,processed,29.99,29.00,-0.99,-17.2,-17.2,0.0,-0.94,-0.99,-0.05,0.0,yes,no,
Al Dexter - I'll Wait For You Dear.mp3,processed,29.99,29.00,-0.99,-20.7,-18.8,1.9,-2.89,-1.09,1.80,1.9,yes,no,
Al Di Meola - Bianca's Midnight Lullaby.mp3,processed,29.99,29.00,-0.99,-24.1,-17.9,6.2,-7.29,-0.86,6.44,6.2,yes,no,
Al Di Meola - Calliope (Album Version).mp3,processed,29.99,29.00,-0.99,-27.2,-21.2,6.1,-7.03,-0.74,6.28,6.1,yes,no,
Al Di Meola - God Bird Change (Album Version).mp3,processed,29.99,29.00,-0.99,-19.7,-19.9,-0.2,-0.80,-1.30,-0.50,-0.2,yes,no,
Al Di Meola - Splendido Sundance.mp3,processed,30.01,29.00,-1.01,-23.0,-19.6,3.4,-4.34,-1.42,2.92,3.4,yes,no,
Al DiMeola Project - July.mp3,processed,29.99,29.00,-0.99,-23.6,-21.8,1.8,-2.73,-1.05,1.68,1.8,yes,no,
Al Duvall - Dark Inside.mp3,processed,29.99,29.00,-0.99,-19.7,-19.9,-0.2,-0.90,-0.77,0.14,-0.2,yes,no,
Al Rapone - Chere Duloone.mp3,processed,29.99,29.00,-0.99,-22.7,-19.4,3.4,-4.33,-0.99,3.34,3.4,yes,no,
